id_pedido,customer_id,pais,id_businessunit,business_unit,cedis,fecha_pedido,fecha_entrega,status_final,valor_pedido,SubTotal,Total
8.83944E+18,8.42921E+18,México,1,Bebidas,3012,16:37.6,00:00.0,Entregado,7,1366.8,1570.94
9.05646E+18,3.03732E+18,México,1,Bebidas,3803,21:12.5,00:00.0,Entregado,7,1343.08,1558.01
8.98669E+18,3.64987E+18,México,1,Bebidas,3003,35:10.0,00:00.0,Entregado,5,675,675
8.97522E+18,3.45134E+18,México,1,Bebidas,3831,25:26.7,00:00.0,Entregado,5,711,721
8.86594E+18,4.28264E+18,México,1,Bebidas,3808,45:32.7,00:00.0,Entregado,11,3355.17,3924.99
9.06009E+18,3.93359E+18,Ecuador,5,Bebidas,71,23:06.6,00:00.0,Entregado,4,57.42,66.03
9.09449E+18,6.10791E+17,México,1,Bebidas,3816,16:01.6,00:00.0,Entregado,16,1815.56,1979.5
8.84289E+18,2.88764E+18,México,1,Bebidas,3301,46:21.1,00:00.0,Entregado,9,1119.23,1182.49
9.13019E+18,2.82248E+18,Perú,3,Bebidas,33,27:25.2,NULL,Registrado,2,0,0
9.04641E+18,1.31045E+18,México,1,Bebidas,3804,57:03.8,00:00.0,Entregado,30,5763.5,6606.93
8.95992E+18,2.59879E+18,México,1,Bebidas,3804,06:55.4,00:00.0,Entregado,5,1367.21,1585.96
9.1844E+18,4.96071E+18,México,1,Bebidas,3917,42:04.2,00:00.0,Entregado,6,1281.72,1485.01
9.04049E+18,4.34654E+18,México,1,Bebidas,3301,58:25.3,00:00.0,Entregado,14,2431.52,2549.5
8.90705E+18,6.42466E+18,México,1,Bebidas,3219,10:35.5,00:00.0,Entregado,12,2194.39,2544.53
9.18519E+18,6.60046E+18,México,1,Bebidas,3821,50:23.9,00:00.0,Entregado,8,1629.27,1912.99
9.05213E+18,4.28182E+18,México,1,Bebidas,3906,32:33.4,00:00.0,Entregado,25,5958.12,6961.53
8.95205E+18,1.7305E+18,México,1,Bebidas,3804,51:06.9,00:00.0,Entregado,13,3261.93,3698.48
8.96562E+18,1.72832E+18,Perú,3,Bebidas,IA  ,17:36.8,NULL,Registrado,6,0,0
8.94285E+18,3.87064E+17,Argentina,6,Bebidas,11,00:57.3,NULL,Registrado,6,0,0
9.15683E+18,5.48364E+18,Ecuador,8,Lacteos,41,26:48.1,00:00.0,Entregado,13,18.46,18.75
9.13662E+18,1.28102E+18,México,1,Bebidas,3803,13:22.0,00:00.0,Entregado,28,4590.9,5123.53
8.87561E+18,8.29344E+18,México,1,Bebidas,3820,32:27.7,00:00.0,Entregado,4,558.75,633.99
8.88961E+18,4.48681E+18,Argentina,6,Bebidas,12,37:43.7,NULL,Registrado,6,0,0
9.13249E+18,2.94834E+18,Ecuador,5,Bebidas,13,55:07.9,00:00.0,Entregado,4,41.66,47.91
9.21787E+18,8.76361E+18,México,1,Bebidas,3804,17:47.3,00:00.0,Entregado,11,1761.58,2021.52
9.05491E+18,5.12113E+18,México,1,Bebidas,3101,25:11.8,00:00.0,Entregado,16,3370.12,3581.49
8.88277E+18,2.95721E+17,México,1,Bebidas,3003,40:16.3,00:00.0,Entregado,3,599.13,694.99
