id_businessunit,id_linea,id_pedido,sku_solicitado,sku_solicitado_hash,nombre_sku_solicitado,sku_solicitado_cambio,sku_solicitado_cambio_hash,nombre_sku_solicitado_cambio
1,5495530,8.89346E+18,1469,6.91542E+18,Ciel Agua Purificada,3637,5.3508E+18,"Ciel Exprim Gasificada Maracuya, Botella Pet 600 ml, 6 Piezas"
8,9427983,9.0441E+18,6783,9.21835E+18,Yogurt Mix Frutilla con Galletas 175 Gr.                                                                                                                                                                                                                  ,11138,2.30996E+18,Yogurt Toni Durazno 110 Gr.                                                                                                                                                                                                                               
1,11644443,9.01401E+18,1482,4.50968E+18,Sprite Lima Limón,3802,8.62066E+18,"Sprite Sin Azúcar Lima Limón, Botella Pet 2.50 L, 8 Piezas"
1,23922868,8.87613E+18,375,8.05384E+18,Del Valle Mango,3253,7.66745E+18,"Del Valle Surtida, Botella Pet 1.00 L, 6 Piezas"
1,14464677,8.9407E+18,3735,3.12323E+18,Santa Clara Leche Cappuccino,1916,1.87286E+18,"Santa Clara Leche Entera, Tetra Pack 1.00 L, 4 Piezas"
8,20313384,9.08297E+18,971,3.61323E+18,Yogurt Chiqui Mix Frutilla con Hojuelas 92 Gr.                                                                                                                                                                                                            ,11242,8.10546E+18,Yogurt Toni Yogurt Vainilla 1.7 L.                                                                                                                                                                                                                        
1,9477883,9.04628E+18,310,2.52057E+18,Coca - Cola,3402,1.08767E+18,"Coca - Cola, Botella Pet 2.00 L Retornable, 8 Piezas"
1,8393008,8.89255E+18,3898,8.12784E+18,Coca - Cola,2108,4.94597E+18,"Coca - Cola, Botella Vidrio 237 ml, 12 Piezas"
1,13692277,9.12351E+18,1152,4.00989E+18,Topo Chico Agua Mineral,4153,9.09655E+18,"Topo Chico Agua Mineral, Botella Vidrio 355 ml, 12 Piezas"
1,21102955,8.92724E+18,2,6.26787E+18,Coca - Cola,3599,1.99334E+18,"Coca - Cola Sin Azúcar, Botella Pet 1.50 L, 8 Piezas"
1,16057166,9.10068E+18,406,2.78795E+17,Coca - Cola,2392,4.9095E+18,"Coca - Cola Light, Botella Pet 1.50 L, 6 Piezas"
5,8943458,8.88473E+18,12467,3.31835E+18,Fanta Uva,3177,7.4698E+18,"Fanta Naranja, Botella Vidrio 1.25 L Retornable, 12 Unidades                                                                                                                                                                                              "
1,3998007,8.93193E+18,2290,8.57108E+18,Pulpy,2817,4.55192E+18,"Pulpy, Paquete Surtido Botella Pet 400 ml, 6 Piezas"
1,1597190,9.17278E+18,506,5.76441E+17,Coca - Cola,211,7.84612E+18,"Coca - Cola Zero, Botella Pet 2.00 L, 8 Piezas"
8,23180726,9.17566E+18,972,8.69648E+18,Yogurt Chiqui Mix Frutilla con Bolitas 92 Gr.                                                                                                                                                                                                             ,10453,3.58913E+17,YOGURT-MET-0150-CHOCO- FFS                                                                                                                                                                                                                                
1,7370460,9.00782E+18,2578,5.94114E+18,Coca - Cola Zero,148,7.50985E+18,"Coca - Cola Light, Botella Vidrio 237 ml, 24 Piezas"
1,20011956,8.84288E+18,3161,2.84446E+18,Monster Energy Original,2941,5.3232E+18,"Monster Hamilton Uva, Lata 473 ml, 4 Piezas"
1,14233361,8.95248E+18,38,7.93025E+18,Coca - Cola,2108,4.94597E+18,"Coca - Cola, Botella Vidrio 237 ml, 12 Piezas"
1,20159226,9.07153E+18,180,7.10482E+18,Coca - Cola,39,2.74581E+17,"Coca - Cola Light, Botella Pet 1.00 L, 12 Piezas"
1,14362752,9.21118E+18,364,9.18952E+18,Fanta Fresa,18,9.07501E+18,"Fanta Fresa, Botella Pet 2.00 L Retornable, 8 Piezas"
1,23689808,8.94164E+18,462,3.08284E+18,Powerade Moras,1529,7.69347E+18,"Powerade Uva, Botella Pet 1.00 L, 6 Piezas"
1,4674142,9.15561E+18,8,7.51212E+18,Coca - Cola,173,8.57838E+17,"Coca - Cola Light Sin Cafeína, Botella Pet 600 ml, 24 Piezas"
1,17269255,8.90621E+18,404,4.73924E+18,Valle Frut Citrus Punch,3668,2.12014E+18,"Valle Frut Mandarina, Botella Pet 2.00 L, 8 Piezas"
1,12166705,9.11545E+18,406,2.78795E+17,Coca - Cola,2392,4.9095E+18,"Coca - Cola Light, Botella Pet 1.50 L, 6 Piezas"
1,8290505,9.18082E+18,545,1.77392E+17,Sprite Lima Limón,1954,7.95282E+18,"Sprite Lima Limón, Botella Pet 2.00 L, 6 Piezas"
1,9220264,9.19188E+18,564,2.87855E+18,Fanta Naranja,3436,6.67579E+18,"Fanta Senzao Guaraná, Botella Pet 600 ml, 6 Piezas"
1,13778977,9.19149E+18,498,7.01655E+18,Del Valle Mango,1850,5.15194E+18,"Del Valle Surtida, Tetra Pack 1.00 L, 4 Piezas"
1,7424441,9.05607E+18,506,5.76441E+17,Coca - Cola,211,7.84612E+18,"Coca - Cola Zero, Botella Pet 2.00 L, 8 Piezas"
1,18190930,8.84009E+18,2577,2.37319E+18,Coca - Cola Zero,1405,5.53622E+18,"Coca - Cola, Botella Pet 400 ml, 12 Piezas"
1,17712863,9.17289E+18,499,4.80252E+18,Del Valle Durazno,389,3.29184E+17,"Del Valle Néctar Manzana, Tetra Pack 200 ml, 4 Piezas"
1,2267833,9.06342E+18,378,3.78544E+18,Del Valle Néctar Manzana,3204,2.42185E+18,"Del Valle Piña, Botella Pet 1.00 L, 6 Piezas"
1,18264345,8.87873E+18,254,8.51269E+18,Coca - Cola,1405,5.53622E+18,"Coca - Cola, Botella Pet 400 ml, 12 Piezas"
1,4408297,9.09234E+18,653,8.34139E+18,Fuze Tea Durazno,733,9.41585E+17,"Fuze Tea Limón, Botella Pet 600 ml, 6 Piezas"
1,12343101,9.00898E+18,3734,5.45836E+17,Santa Clara Leche Fresa,2895,7.79676E+18,"Santa Clara Leche Cajeta, Tetra Pack 200 ml, 4 Piezas"
1,1473727,8.86207E+18,206,6.92408E+18,Fresca Toronja,76,3.04136E+18,"Fresca Toronja, Botella Pet 2.00 L, 8 Piezas"
1,15040898,9.02054E+18,2874,4.28732E+18,Del Valle Mango,380,3.89356E+17,"Del Valle Durazno, Botella Vidrio 250 ml, 6 Piezas"
1,6763032,8.83461E+18,8,7.51212E+18,Coca - Cola,173,8.57838E+17,"Coca - Cola Light Sin Cafeína, Botella Pet 600 ml, 24 Piezas"
1,5537548,9.03101E+18,2783,3.23227E+18,Coca - Cola Zero,3968,4.51935E+18,"Coca Cola Cherry, Botella Pet 600 ml, 12 Piezas"
1,20684271,8.95721E+18,2864,3.906E+18,Coca - Cola Zero,2337,3.292E+18,"Coca - Cola, Botella Pet 600 ml, 4 Piezas"
1,19080489,9.06118E+18,406,2.78795E+17,Coca - Cola,2392,4.9095E+18,"Coca - Cola Light, Botella Pet 1.50 L, 6 Piezas"
1,22969243,9.20353E+18,308,6.78613E+18,Frutsi Frutas Rojas,532,4.29806E+18,"Frutsi Frutas Rojas, Botella Pet 260 ml, 6 Piezas"
1,5901668,9.06094E+18,799,8.6055E+18,Coca - Cola,2583,7.06776E+18,"Coca - Cola Zero, Botella Pet 355 ml, 12 Piezas"
1,1307225,8.9846E+18,8,7.51212E+18,Coca - Cola,173,8.57838E+17,"Coca - Cola Light Sin Cafeína, Botella Pet 600 ml, 24 Piezas"
1,4682313,9.19163E+18,500,4.17585E+18,Del Valle Manzana,386,8.79636E+18,"Del Valle Mango, Tetra Pack 200 ml, 4 Piezas"
1,4551797,8.91415E+18,3161,2.84446E+18,Monster Energy Original,2941,5.3232E+18,"Monster Hamilton Uva, Lata 473 ml, 4 Piezas"
1,19055225,9.15888E+18,3274,7.34872E+18,Coca - Cola,3601,6.99861E+16,"Coca - Cola Sin Azúcar, Botella Pet 2.00 L, 8 Piezas"
1,18707033,8.83159E+18,406,2.78795E+17,Coca - Cola,2392,4.9095E+18,"Coca - Cola Light, Botella Pet 1.50 L, 6 Piezas"
1,22507677,8.93052E+18,406,2.78795E+17,Coca - Cola,2392,4.9095E+18,"Coca - Cola Light, Botella Pet 1.50 L, 6 Piezas"
8,10798096,9.03872E+18,2478,1.84894E+18,Leche Saborizada Toni Chiqui Frutilla Poma 135 Ml.                                                                                                                                                                                                        ,1485,4.40447E+18,LECHS-EST-1000-FRUT                                                                                                                                                                                                                                       
1,1255018,9.18149E+18,8,7.51212E+18,Coca - Cola,173,8.57838E+17,"Coca - Cola Light Sin Cafeína, Botella Pet 600 ml, 24 Piezas"
1,21920668,9.00503E+18,1760,3.11999E+18,Coca - Cola,2860,1.10753E+18,"Coca - Cola Zero, Lata 473 ml, 24 Piezas"
8,18243333,9.16331E+18,1120,3.73543E+18,Caffe Lato Mocaccino Tpk 250 Ml.                                                                                                                                                                                                                          ,2280,6.04351E+18,Caffe Lato Mocaccino Vidrio 285 Ml.                                                                                                                                                                                                                       
1,10830635,8.92295E+18,377,1.26493E+18,Del Valle Manzana,2829,3.75858E+18,"Del Valle Guayaba, Botella Pet 237 ml, 6 Piezas"
1,11372967,9.06535E+18,406,2.78795E+17,Coca - Cola,2392,4.9095E+18,"Coca - Cola Light, Botella Pet 1.50 L, 6 Piezas"
1,15127715,8.96359E+18,3912,9.36194E+17,Coca - Cola,3919,5.35569E+18,"Coca - Cola Zero, Botella Pet 450 ml, 12 Piezas"
1,21357033,9.20997E+18,3055,8.25127E+18,Del Valle Néctar Manzana,2824,8.13339E+18,"Del Valle Reserva Granada, Botella Pet 237 ml, 6 Piezas"
1,7570380,9.20155E+18,679,4.44541E+18,Fuze Tea Limón,2929,2.81839E+18,"Fuze Tea Lichi, Botella Pet 600 ml, 6 Piezas"
1,10357160,9.04599E+18,2,6.26787E+18,Coca - Cola,3599,1.99334E+18,"Coca - Cola Sin Azúcar, Botella Pet 1.50 L, 8 Piezas"
1,9161929,9.04367E+18,376,6.6275E+18,Del Valle Durazno,2947,6.55836E+18,"Del Valle y Nada Limón Pepino, Botella Pet 600 ml, 6 Piezas"
1,8096832,8.84191E+18,3986,5.86165E+18,Coca - Cola,13,2.83797E+18,"Coca - Cola Light, Botella Vidrio 500 ml, 24 Piezas"
1,8044241,9.14469E+18,648,8.99837E+18,Fuze Tea Limón,3487,7.36903E+18,"Fuze Tea Sin Azúcar Durazno, Botella Pet 600 ml, 6 Piezas"
1,8300202,8.92267E+18,3196,6.34288E+17,Monster Energy Lo Carb,3071,2.76368E+17,"Monster Energy Mango Loco, Lata 473 ml, 4 Piezas"
1,20742147,8.9889E+18,220,6.23345E+18,Powerade Frutas Rojas,1290,8.32613E+18,"Powerade Mango, Botella Pet 600 ml, 6 Piezas"
1,16109835,8.91456E+18,2,6.26787E+18,Coca - Cola,3599,1.99334E+18,"Coca - Cola Sin Azúcar, Botella Pet 1.50 L, 8 Piezas"
1,4713445,9.14792E+18,3986,5.86165E+18,Coca - Cola,13,2.83797E+18,"Coca - Cola Light, Botella Vidrio 500 ml, 24 Piezas"
1,11153141,9.13673E+18,1994,8.81455E+18,Fuze Tea Mango Manzanilla,3487,7.36903E+18,"Fuze Tea Sin Azúcar Durazno, Botella Pet 600 ml, 6 Piezas"
1,10471428,9.14383E+18,399,1.04553E+18,Frutsi Manzana,534,7.24596E+18,"Frutsi Mango, Botella Pet 260 ml, 6 Piezas"
1,22881477,9.03542E+18,406,2.78795E+17,Coca - Cola,2392,4.9095E+18,"Coca - Cola Light, Botella Pet 1.50 L, 6 Piezas"
